Rk,GF90,Pts/MP,xGD/90,Age,Poss,npxG,Saves90,Save%,PSxG+/-/90,#OPA/90,Sh/90,SoT/90,PKPer,Cmp90,Cmp%,KP90,FIN1/3/90,SCA90,Att3rd90,AttPen90,Succ%,TklW90,Won%
14,1.642857143,1,-0.35,26.9,50.9,1.08,2.714285714,61.9,-4,1.5,11.36,4.29,1,450.6428571,82.1,8.928571429,36.64285714,20.29,133.2142857,18.28571429,35.4,10.71428571,46.1
8,1.923076923,1.46,0.29,28.1,62.2,1.7,3.153846154,75.9,7.7,2,17.31,6.15,0,530.8461538,81.1,13.15384615,46.30769231,29.85,194.1538462,35.38461538,41,9.538461538,48.4
2,3,2.46,1.24,27.6,65.5,1.82,1.538461538,67.7,-1.7,1.54,16.54,6,1,640.6153846,88,13.38461538,51.07692308,30.46,223.2307692,34.84615385,46.2,7.307692308,58.7
5,1.384615385,1.77,0.02,27.3,52.4,1.19,2.384615385,64,-3.9,0.85,13.69,4.69,1,413.8461538,79.7,11.30769231,31.92307692,24.69,164.6923077,22.84615385,42.1,9.461538462,52
3,2,1.93,0.66,27.8,50.8,1.56,2.928571429,80.8,1.7,2.43,14.71,5.07,1,352.3571429,76.9,11.28571429,28.07142857,25.79,166.1428571,29.5,35.8,9.428571429,53.9
20,0.714285714,0.71,-0.62,26.2,40.9,0.9,3.571428571,65.9,-4.1,1.43,9.71,2.86,0.5,293.2142857,73.4,6.5,19.85714286,15.93,105.2857143,14.92857143,39.4,9.857142857,53
18,0.857142857,0.86,-0.26,24.9,44.9,0.97,2.428571429,57.9,-7.1,1.79,11.71,3.5,0,320.5,73.9,8.714285714,26.21428571,19.86,141.0714286,21.35714286,43.1,11.14285714,45.4
4,1.928571429,1.86,0.5,28.1,50.2,1.43,3.071428571,72.1,-2.4,1.36,14.57,5.36,0.666666667,444.0714286,82.4,11.35714286,30.07142857,26.43,144.2142857,23.64285714,39.8,8.428571429,49.9
15,0.857142857,1,0.26,28.2,45.2,1.05,2.857142857,75.9,2,0.29,12.93,3.36,0.5,357.5,77.8,9.071428571,28.85714286,23.07,128.3571429,19,41.3,8.071428571,52.3
19,0.571428571,0.71,-0.24,26.6,50.4,0.91,2.642857143,63.3,-3.2,0.71,11.71,3.14,1,390.8571429,80.6,9,33.71428571,21.5,145.5714286,21.14285714,38,9.571428571,46
